Dataset,Model,Accuracy,Precision,Recall,F1 Score
DRIAMS-B,DecisionTree,0.998062015503876,0.9971671388101983,0.9971671388101983,0.9971671388101983
DRIAMS-B,LinearSVM,0.938953488372093,1.0,0.8215297450424929,0.9020217729393468
DRIAMS-B,XGBoost,0.9951550387596899,1.0,0.9858356940509915,0.992867332382311
DRIAMS-B,LightGBM,0.9835271317829457,1.0,0.9518413597733711,0.9753265602322206
DRIAMS-B,LogitBoost,0.9961240310077519,1.0,0.9886685552407932,0.9943019943019943
DRIAMS-B,MLP,1.0,1.0,1.0,1.0
DRIAMS-B,KNN,0.999031007751938,1.0,0.9971671388101983,0.9985815602836879
DRIAMS-C,DecisionTree,0.9962302947224126,0.9972640218878249,0.9878048780487805,0.9925119128658951
DRIAMS-C,LinearSVM,0.9479095270733379,1.0,0.7940379403794038,0.8851963746223565
DRIAMS-C,XGBoost,0.995887594242632,1.0,0.983739837398374,0.9918032786885246
DRIAMS-C,LightGBM,0.9777244688142563,1.0,0.9119241192411924,0.9539333805811481
DRIAMS-C,LogitBoost,0.9976010966415353,1.0,0.9905149051490515,0.9952348536419333
DRIAMS-C,MLP,1.0,1.0,1.0,1.0
DRIAMS-C,KNN,0.9996572995202193,1.0,0.9986449864498645,0.9993220338983051
DRIAMS-D,DecisionTree,0.9720011788977306,0.9542124542124543,0.9586016559337627,0.9564020192748968
DRIAMS-D,LinearSVM,0.9217506631299734,0.9987856709168185,0.7566697332106715,0.861031143679665
DRIAMS-D,XGBoost,0.9802534630120837,0.9657534246575342,0.9728610855565777,0.9692942254812099
DRIAMS-D,LightGBM,0.9302976716769821,0.9964973730297724,0.7851885924563018,0.8783123231283766
DRIAMS-D,LogitBoost,0.9693486590038314,0.9334215167548501,0.9737810487580497,0.9531742458352094
DRIAMS-D,MLP,0.9882110226937814,0.9699281867145422,0.9940202391904324,0.9818264425261245
DRIAMS-D,KNN,0.9904214559386973,0.9808481532147743,0.9894204231830727,0.9851156400274789
